# File: A271.freight_coef.csv
# Title: Coefficients of freight inputs to energy and ag commodities
# Units: million tkm per EJ = ton-meters per GJ
# Comments: price-unit-conversion takes into account the following:
#  (1) transportation output unit is 1e6 times the price unit denominator whereas all other sectors are 1e9.
#  (2) transportation price unit is 1990$ whereas others are 1975$.
#  (3) trn_freight costs are 17x higher than rail mode (the dominant mode for some of these fuels). Some de-rating is appropriate.
# Note: the methods are not set up to handle different tkm inputs for different refined liquid fuel commodities (e.g., ref liq industrial, ref liq enduse need to have the same coef in each region)
# Column types: cccccnnnnnn
# ----------
region,supplysector,subsector,technology,minicam.energy.input,price.unit.conversion,1971,1990,2000,2010,2100
USA,traded fibercrop,Africa_Western traded fibercrop,Africa_Western traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Africa_Western traded fibercrop,Africa_Western traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,Argentina traded fibercrop,Argentina traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Argentina traded fibercrop,Argentina traded fibercrop,trn_shipping_intl,0.00045208,1000,2000,2000,2000,2000
USA,traded fibercrop,Australia_NZ traded fibercrop,Australia_NZ traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Australia_NZ traded fibercrop,Australia_NZ traded fibercrop,trn_shipping_intl,0.00045208,2500,2500,2500,2500,2500
USA,traded fibercrop,Brazil traded fibercrop,Brazil traded fibercrop,trn_freight,3.62E-05,150,150,150,150,150
USA,traded fibercrop,Brazil traded fibercrop,Brazil traded fibercrop,trn_shipping_intl,0.00045208,3000,3000,3000,3000,3000
USA,traded fibercrop,Canada traded fibercrop,Canada traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Canada traded fibercrop,Canada traded fibercrop,trn_shipping_intl,0.00045208,1000,1000,1000,1000,1000
USA,traded fibercrop,Central America and Caribbean traded fibercrop,Central America and Caribbean traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Central America and Caribbean traded fibercrop,Central America and Caribbean traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,Central Asia traded fibercrop,Central Asia traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,China traded fibercrop,China traded fibercrop,trn_freight,3.62E-05,150,150,150,150,150
USA,traded fibercrop,China traded fibercrop,China traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,Colombia traded fibercrop,Colombia traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Colombia traded fibercrop,Colombia traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,EU-12 traded fibercrop,EU-12 traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,EU-12 traded fibercrop,EU-12 traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,EU-15 traded fibercrop,EU-15 traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,EU-15 traded fibercrop,EU-15 traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,Europe_Eastern traded fibercrop,Europe_Eastern traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Europe_Eastern traded fibercrop,Europe_Eastern traded fibercrop,trn_shipping_intl,0.00045208,3000,0,3000,3000,3000
USA,traded fibercrop,Europe_Non_EU traded fibercrop,Europe_Non_EU traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Europe_Non_EU traded fibercrop,Europe_Non_EU traded fibercrop,trn_shipping_intl,0.00045208,1500,1500,1500,1500,1500
USA,traded fibercrop,European Free Trade Association traded fibercrop,European Free Trade Association traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,European Free Trade Association traded fibercrop,European Free Trade Association traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,India traded fibercrop,India traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,India traded fibercrop,India traded fibercrop,trn_shipping_intl,0.00045208,3000,3000,3000,3000,3000
USA,traded fibercrop,Indonesia traded fibercrop,Indonesia traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Indonesia traded fibercrop,Indonesia traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
